Run	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	genotype	GEO_Accession (exp)	housing_condition	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	sex	source_name	SRA Study	strain	tissue	create_date	version
SRR1795021	2 month	RNA-Seq	102	4028893206	PRJNA274985	SAMN03334121	2556739664	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870391	Het (Q111) Knock-In	GSM1605718	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605718	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:44:00Z	1
SRR1795022	2 month	RNA-Seq	102	4574852388	PRJNA274985	SAMN03334515	2882863739	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870392	Het (Q111) Knock-In	GSM1605719	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605719	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:43:00Z	1
SRR1795023	2 month	RNA-Seq	102	3897885834	PRJNA274985	SAMN03334610	2451464322	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870393	Het (Q111) Knock-In	GSM1605720	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605720	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:42:00Z	1
SRR1795024	2 month	RNA-Seq	102	4268362890	PRJNA274985	SAMN03334082	2876612237	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870394	Het (Q111) Knock-In	GSM1605721	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605721	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:43:00Z	1
SRR1795025	2 month	RNA-Seq	102	3972906018	PRJNA274985	SAMN03333818	2539746174	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870395	Het (Q111) Knock-In	GSM1605722	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605722	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:46:00Z	1
SRR1795026	2 month	RNA-Seq	102	4161043386	PRJNA274985	SAMN03334370	2787710300	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870396	Het (Q111) Knock-In	GSM1605723	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605723	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:43:00Z	1
SRR1795027	2 month	RNA-Seq	102	3932692008	PRJNA274985	SAMN03333852	2591433578	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870397	Het (Q111) Knock-In	GSM1605724	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605724	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:40:00Z	1
SRR1795028	2 month	RNA-Seq	102	5158875012	PRJNA274985	SAMN03334182	3517418116	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870398	Het (Q111) Knock-In	GSM1605725	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605725	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:47:00Z	1
SRR1795029	6 month	RNA-Seq	100	5578745800	PRJNA274985	SAMN03334603	3665952544	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870399	Het (Q111) Knock-In	GSM1605726	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605726	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:43:00Z	1
SRR1795030	6 month	RNA-Seq	100	5925112200	PRJNA274985	SAMN03334458	3879788326	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870400	Het (Q111) Knock-In	GSM1605727	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605727	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:44:00Z	1
SRR1795031	6 month	RNA-Seq	100	5816664600	PRJNA274985	SAMN03333948	3869252514	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870401	Het (Q111) Knock-In	GSM1605728	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605728	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:44:00Z	1
SRR1795032	6 month	RNA-Seq	100	5590295600	PRJNA274985	SAMN03334768	3663491189	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870402	Het (Q111) Knock-In	GSM1605729	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605729	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:44:00Z	1
SRR1795033	6 month	RNA-Seq	100	5481785500	PRJNA274985	SAMN03334336	3573533092	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870403	Het (Q111) Knock-In	GSM1605730	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605730	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:42:00Z	1
SRR1795034	6 month	RNA-Seq	100	5731407500	PRJNA274985	SAMN03334493	3759263101	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870404	Het (Q111) Knock-In	GSM1605731	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605731	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:42:00Z	1
SRR1795035	6 month	RNA-Seq	100	6128749500	PRJNA274985	SAMN03334711	4042820064	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870405	Het (Q111) Knock-In	GSM1605732	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605732	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:44:00Z	1
SRR1795036	6 month	RNA-Seq	100	5211430400	PRJNA274985	SAMN03334063	3430570036	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870406	Het (Q111) Knock-In	GSM1605733	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605733	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:42:00Z	1
SRR1795037	10 month	RNA-Seq	102	4398693594	PRJNA274985	SAMN03333903	3000194700	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870407	Het (Q111) Knock-In	GSM1605734	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605734	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:39:00Z	1
SRR1795038	10 month	RNA-Seq	102	4490047650	PRJNA274985	SAMN03334454	3067357455	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870408	Het (Q111) Knock-In	GSM1605735	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605735	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:39:00Z	1
SRR1795039	10 month	RNA-Seq	102	4627812930	PRJNA274985	SAMN03334190	3172655598	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870409	Het (Q111) Knock-In	GSM1605736	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605736	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:41:00Z	1
SRR1795040	10 month	RNA-Seq	102	4708169856	PRJNA274985	SAMN03334281	3226537830	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870410	Het (Q111) Knock-In	GSM1605737	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605737	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:39:00Z	1
SRR1795041	10 month	RNA-Seq	102	4334607606	PRJNA274985	SAMN03334668	3060514423	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870411	Het (Q111) Knock-In	GSM1605738	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605738	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:37:00Z	1
SRR1795042	10 month	RNA-Seq	102	4815062898	PRJNA274985	SAMN03334803	3319316212	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870412	Het (Q111) Knock-In	GSM1605739	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605739	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:38:00Z	1
SRR1795043	10 month	RNA-Seq	102	5251915434	PRJNA274985	SAMN03334174	3649404644	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870413	Het (Q111) Knock-In	GSM1605740	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605740	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:49:00Z	1
SRR1795044	10 month	RNA-Seq	102	3903835392	PRJNA274985	SAMN03333927	2672976537	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870414	Het (Q111) Knock-In	GSM1605741	housed with Het (Q111) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605741	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:39:00Z	1
SRR1795045	2 month	RNA-Seq	102	4713942444	PRJNA274985	SAMN03334056	3144199406	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870415	Het (Q140) Knock-In	GSM1605742	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605742	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:36:00Z	1
SRR1795046	2 month	RNA-Seq	102	3853058670	PRJNA274985	SAMN03334566	2569164319	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870416	Het (Q140) Knock-In	GSM1605743	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605743	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:36:00Z	1
SRR1795047	2 month	RNA-Seq	102	4581648342	PRJNA274985	SAMN03334641	3030899573	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870417	Het (Q140) Knock-In	GSM1605744	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605744	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:36:00Z	1
SRR1795048	2 month	RNA-Seq	102	4858973184	PRJNA274985	SAMN03334481	3145977356	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870418	Het (Q140) Knock-In	GSM1605745	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605745	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:36:00Z	1
SRR1795049	2 month	RNA-Seq	102	4149694152	PRJNA274985	SAMN03334208	2757735581	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870419	Het (Q140) Knock-In	GSM1605746	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605746	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:35:00Z	1
SRR1795050	2 month	RNA-Seq	102	5270900796	PRJNA274985	SAMN03334764	3513075891	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870420	Het (Q140) Knock-In	GSM1605747	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605747	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:37:00Z	1
SRR1795051	2 month	RNA-Seq	102	4034239740	PRJNA274985	SAMN03333949	2679881856	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870421	Het (Q140) Knock-In	GSM1605748	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605748	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:35:00Z	1
SRR1795052	2 month	RNA-Seq	102	3871711716	PRJNA274985	SAMN03334398	2451111730	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870422	Het (Q140) Knock-In	GSM1605749	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605749	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:41:00Z	1
SRR1795053	6 month	RNA-Seq	100	5090316200	PRJNA274985	SAMN03334101	3269507358	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870423	Het (Q140) Knock-In	GSM1605750	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605750	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:39:00Z	1
SRR1795054	6 month	RNA-Seq	100	4890927900	PRJNA274985	SAMN03334593	3160885074	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870424	Het (Q140) Knock-In	GSM1605751	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605751	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:37:00Z	1
SRR1795055	6 month	RNA-Seq	100	5730234200	PRJNA274985	SAMN03334784	3641910631	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870425	Het (Q140) Knock-In	GSM1605752	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605752	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:41:00Z	1
SRR1795056	6 month	RNA-Seq	100	5138483900	PRJNA274985	SAMN03334251	3301967246	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870426	Het (Q140) Knock-In	GSM1605753	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605753	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:39:00Z	1
SRR1795057	6 month	RNA-Seq	100	4766424500	PRJNA274985	SAMN03334771	3076878184	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870427	Het (Q140) Knock-In	GSM1605754	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605754	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:37:00Z	1
SRR1795058	6 month	RNA-Seq	100	4876081800	PRJNA274985	SAMN03334617	3134952916	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870428	Het (Q140) Knock-In	GSM1605755	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605755	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:39:00Z	1
SRR1795059	6 month	RNA-Seq	100	5233133600	PRJNA274985	SAMN03334699	3337360657	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870429	Het (Q140) Knock-In	GSM1605756	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605756	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:38:00Z	1
SRR1795060	6 month	RNA-Seq	100	5091925400	PRJNA274985	SAMN03334401	3275626404	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870430	Het (Q140) Knock-In	GSM1605757	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605757	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:38:00Z	1
SRR1795061	10 month	RNA-Seq	102	4056529596	PRJNA274985	SAMN03334246	2782830595	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870431	Het (Q140) Knock-In	GSM1605758	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605758	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:35:00Z	1
SRR1795062	10 month	RNA-Seq	102	3984192522	PRJNA274985	SAMN03334044	2749874538	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870432	Het (Q140) Knock-In	GSM1605759	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605759	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:35:00Z	1
SRR1795063	10 month	RNA-Seq	102	4141892682	PRJNA274985	SAMN03334588	2832775158	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870433	Het (Q140) Knock-In	GSM1605760	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605760	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:41:00Z	1
SRR1795064	10 month	RNA-Seq	102	4038850140	PRJNA274985	SAMN03334716	2763873005	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870434	Het (Q140) Knock-In	GSM1605761	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605761	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:32:00Z	1
SRR1795065	10 month	RNA-Seq	102	4497757524	PRJNA274985	SAMN03334238	3095535378	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870435	Het (Q140) Knock-In	GSM1605762	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605762	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:33:00Z	1
SRR1795066	10 month	RNA-Seq	102	4416548592	PRJNA274985	SAMN03334752	3117419151	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870436	Het (Q140) Knock-In	GSM1605763	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605763	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:33:00Z	1
SRR1795067	10 month	RNA-Seq	102	4261436580	PRJNA274985	SAMN03334432	2917062717	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870437	Het (Q140) Knock-In	GSM1605764	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605764	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:35:00Z	1
SRR1795068	10 month	RNA-Seq	102	4263904776	PRJNA274985	SAMN03334012	2915567650	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870438	Het (Q140) Knock-In	GSM1605765	housed with Het (Q140) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605765	male	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:33:00Z	1
SRR1795069	2 month	RNA-Seq	102	4538691348	PRJNA274985	SAMN03333882	3104598403	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870439	Het (Q175) Knock-In	GSM1605766	housed with Het (Q175) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605766	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:35:00Z	1
SRR1795070	2 month	RNA-Seq	102	5277663600	PRJNA274985	SAMN03334160	3524530718	GEO	public	fastq,run.zq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX870440	Het (Q175) Knock-In	GSM1605767	housed with Het (Q175) mice	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	Mus musculus	ILLUMINA	2016-02-16T00:00:00Z	GSM1605767	female	striatum	SRP053398	C57BL/6	striatum	2015-02-09T21:34:00Z	1
